statisticalID,name,partOf,code,physicalType
oEBf29y8JP8,Upper Fulladou West,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
HPGiE9Jjh2r,Niani,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
BxrIbNW7f3K,Niamina Dankunku,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
SQT8xjbvWwf,Nianija,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
sNAdEeUXVUz,Sami,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
i28jnGjQN10,Lower Fulladou West,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
hPzLRPGQhyk,Janjan Bureh,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
kbRJIC4LHCT,Lower Saloum,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
tbIRVsMQUdg,Niamina East,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
ELt9FU92XZD,Niamina West,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
n0CXsSP6Esm,Upper Saloum,Location/B1u1bVtIA92,ADMIN_STRUCTURE,Jurisdiction
sLIHwiFp41i,Jarra West,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
y3gZjiNvEhh,Kiang West,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
d9vCXNPwvvL,Jarra East,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
b2Cgyi4BuiO,Jarra Central,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
b5QDzyFeLWd,Kiang East,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
kscNOUDO0XN,Kiang Central,Location/J7PQPWAeRUk,ADMIN_STRUCTURE,Jurisdiction
A9wU7lhL721,Upper Badibu,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
SfFrfySzRgY,Central Badibu,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
bhNMagz9WhD,Lower Badibu,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
G2nVDIpA0mE,Sabach Sanjal,Location/dbTLdTi7s8F,ADMIN_STRUCTURE,Jurisdiction
Vra182PfVXT,Upper Niumi,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
bPggpIUH2Bw,Jokadu,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
Y5Qs8ZnXPo7,Lower Niumi,Location/SwwuteU1Ajk,ADMIN_STRUCTURE,Jurisdiction
l7kwddqAUuV,Basse,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
eL16jL32aft,Jimara,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
f2v64XQg4O6,Sandu,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
MHol2AAQxSL,Wuli East,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
Gk1xAY3wm9w,Kantora,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
Pq4OSjJIF4z,Wuli West,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
ntoX1PkiWri,Tumana,Location/KozcEjeTyuD,ADMIN_STRUCTURE,Jurisdiction
SvFNQpplnch,Kombo North,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
NLjvK1QsrN3,Kanifing Municipal,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
hywxVKv48Xp,Banjul City,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
MQrVneDhKKn,Kombo Central,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
o8B4Up9xxJI,Foni Bintang Karanai,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
X8wgqN4p9l9,Foni Jarrol,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
jNFgOiE4moz,Kombo South,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
QTtxiWj8ONP,Kombo East,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
Oapn6R4rt3D,Foni Kansala,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
idR0pJWLqcR,Foni Brefet,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
jCJxK8sFH40,Foni Bondali,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
